file_x,id,Name,stress_mpa,temp_oc,LMP,mean,upper,lower,gamma,gammaP,gammaP_distrib,gammaP_aspect,gammaP_width,gammaP_circle
in792sx,A0409,210324-409-1_m001_r1.png,477.53,800,24.623,100.0,100.0,44.535,63.75279017857143,36.24720982142857,"[91.076, 8.924, 0.0, 0.0, 0.0]",1.593475631677017,29.661486173649344,0.8270281662704116
in792sx,A0409,210324-409-1_m002_r1.png,477.53,800,24.623,100.0,100.0,44.535,62.69827706473215,37.301722935267854,"[90.954, 9.046, 0.0, 0.0, 0.0]",1.6390280241101085,29.78360460344026,0.7947678179827428
in792sx,A0409,210324-409-1_m003_r1.png,477.53,800,24.623,100.0,100.0,44.535,66.83262416294643,33.16737583705357,"[85.174, 14.196, 0.631, 0.0, 0.0]",1.4615709333958615,34.44849190557342,0.7108581034871764
in792sx,A0409,210324-409-1_m004_r1.png,477.53,800,24.623,100.0,100.0,44.535,69.15762765066964,30.842372349330358,"[87.582, 11.765, 0.654, 0.0, 0.0]",1.3668835049004375,34.67408481441644,0.6982891371996272
in792sx,A0409,210324-409-1_m005_r1.png,477.53,800,24.623,100.0,100.0,44.535,68.42921665736608,31.57078334263393,"[91.077, 7.692, 1.231, 0.0, 0.0]",1.5246130608263109,31.273823050052226,0.7189248240088394
in792sx,A0409,210324-409-1_m006_r1.png,477.53,800,24.623,100.0,100.0,44.535,67.30076381138392,32.69923618861607,"[92.778, 6.944, 0.278, 0.0, 0.0]",1.4458750156574995,29.584396294220877,0.7846724118271138
in792sx,A0409,210324-409-1_m007_r1.png,477.53,800,24.623,100.0,100.0,44.535,66.97361537388393,33.02638462611608,"[94.059, 5.941, 0.0, 0.0, 0.0]",1.383083513507511,28.70478373091576,0.8185508994084902
in792sx,A0409,210324-409-1_m008_r1.png,477.53,800,24.623,100.0,100.0,44.535,66.62649972098215,33.37350027901786,"[92.781, 6.952, 0.267, 0.0, 0.0]",1.5024638748834305,29.524358221377497,0.803462253591717
in792sx,A0409,210324-409-1_m009_r1.png,477.53,800,24.623,100.0,100.0,44.535,62.278616768973215,37.72138323102679,"[86.685, 12.772, 0.543, 0.0, 0.0]",1.4644753012015714,33.117207465708226,0.670958770757599
in792sx,A0409,210324-409-1_m010_r1.png,477.53,800,24.623,100.0,100.0,44.535,64.63300432477679,35.36699567522321,"[88.076, 11.111, 0.813, 0.0, 0.0]",1.4724145825326862,32.49911278242495,0.640300894904715
in792sx,A0409,210324-409-1_m011_r1.png,477.53,800,24.623,100.0,100.0,44.535,66.33082798549107,33.66917201450893,"[93.048, 6.952, 0.0, 0.0, 0.0]",1.3798530435180485,28.814035073664712,0.7944316236200812
in792sx,A0409,210324-409-1_m012_r1.png,477.53,800,24.623,100.0,100.0,44.535,64.1290283203125,35.8709716796875,"[89.694, 9.471, 0.836, 0.0, 0.0]",1.3767699368804582,30.97022206988233,0.7684082930392012
in792sx,A0409,210324-409-1_m013_r1.png,477.53,800,24.623,100.0,100.0,44.535,64.19991629464286,35.800083705357146,"[88.827, 10.894, 0.279, 0.0, 0.0]",1.471518563863882,30.50335481799871,0.732183864348293
in792sx,A0409,210324-409-1_m014_r1.png,477.53,800,24.623,100.0,100.0,44.535,66.69607979910714,33.303920200892854,"[89.82, 9.281, 0.898, 0.0, 0.0]",1.4644445094848075,32.41839520429383,0.6274041372765233
in792sx,A0409,210324-409-1_m015_r1.png,477.53,800,24.623,100.0,100.0,44.535,67.33677455357143,32.66322544642858,"[90.566, 9.164, 0.27, 0.0, 0.0]",1.480889025434343,30.028222267391143,0.7309328068507297
in792sx,A0409,210324-409-2_m001_r1.png,477.53,800,24.623,100.0,100.0,44.535,65.7403564453125,34.2596435546875,"[94.977, 5.023, 0.0, 0.0, 0.0]",1.509528837589619,27.895983212135143,0.824511725742757
